datetime,00010_Mean,00010_Mean_cd,site_no,00025_Mean,00025_Mean_cd,00047_Mean,00047_Mean_cd,00060_Mean,00060_Mean_cd
2016-10-01 00:00:00+00:00,12.0,A,14181500,733.0,A,771.0,A,1540.0,A
2016-10-02 00:00:00+00:00,10.9,A,14181500,731.0,A,792.0,A,1530.0,A
2016-10-03 00:00:00+00:00,10.5,A,14181500,731.0,A,799.0,A,1540.0,A
2016-10-04 00:00:00+00:00,10.5,A,14181500,731.0,A,801.0,A,1540.0,A
2016-10-05 00:00:00+00:00,10.6,A,14181500,732.0,A,798.0,A,1540.0,A
2016-10-06 00:00:00+00:00,10.7,A,14181500,735.0,A,788.0,A,1540.0,A
2016-10-07 00:00:00+00:00,10.9,A,14181500,734.0,A,796.0,A,1550.0,A
2016-10-08 00:00:00+00:00,10.8,A,14181500,732.0,A,803.0,A,1520.0,A
2016-10-09 00:00:00+00:00,10.8,A,14181500,732.0,A,813.0,A,1560.0,A
2016-10-10 00:00:00+00:00,10.8,A,14181500,732.0,A,809.0,A,1550.0,A
2016-10-11 00:00:00+00:00,10.9,A,14181500,735.0,A,801.0,A,1540.0,A
2016-10-12 00:00:00+00:00,10.9,A,14181500,733.0,A,801.0,A,1540.0,A
2016-10-13 00:00:00+00:00,10.9,A,14181500,724.0,A,802.0,A,1530.0,A
2016-10-14 00:00:00+00:00,10.8,A,14181500,724.0,A,787.0,A,1560.0,A
2016-10-15 00:00:00+00:00,10.6,A,14181500,720.0,A,781.0,A,1550.0,A
2016-10-16 00:00:00+00:00,10.4,A,14181500,720.0,A,776.0,A,1560.0,A
2016-10-17 00:00:00+00:00,10.3,A,14181500,727.0,A,774.0,A,1560.0,A
2016-10-18 00:00:00+00:00,10.1,A,14181500,736.0,A,779.0,A,2490.0,A
2016-10-19 00:00:00+00:00,10.7,A,14181500,740.0,A,794.0,A,3970.0,A
2016-10-20 00:00:00+00:00,11.4,A,14181500,736.0,A,853.0,A,5550.0,A
2016-10-21 00:00:00+00:00,11.3,A,14181500,733.0,A,879.0,A,6530.0,A
