site_id,year,volume
hungry_horse_reservoir_inflow,1911,2178.526
hungry_horse_reservoir_inflow,1912,1973.732
hungry_horse_reservoir_inflow,1913,3220.839
hungry_horse_reservoir_inflow,1914,
hungry_horse_reservoir_inflow,1915,
hungry_horse_reservoir_inflow,1916,
hungry_horse_reservoir_inflow,1917,
hungry_horse_reservoir_inflow,1918,
hungry_horse_reservoir_inflow,1919,
hungry_horse_reservoir_inflow,1920,
hungry_horse_reservoir_inflow,1921,
hungry_horse_reservoir_inflow,1922,
hungry_horse_reservoir_inflow,1923,1825.846
hungry_horse_reservoir_inflow,1924,1743.38
hungry_horse_reservoir_inflow,1925,
hungry_horse_reservoir_inflow,1926,
hungry_horse_reservoir_inflow,1927,
hungry_horse_reservoir_inflow,1928,
hungry_horse_reservoir_inflow,1929,1580.124
hungry_horse_reservoir_inflow,1930,1590.413
hungry_horse_reservoir_inflow,1931,1343.236
hungry_horse_reservoir_inflow,1932,2158.194
hungry_horse_reservoir_inflow,1933,2743.627
hungry_horse_reservoir_inflow,1934,2165.573
hungry_horse_reservoir_inflow,1935,1877.17
hungry_horse_reservoir_inflow,1936,2024.373
hungry_horse_reservoir_inflow,1937,1482.16
hungry_horse_reservoir_inflow,1938,1815.005
hungry_horse_reservoir_inflow,1939,2054.162
hungry_horse_reservoir_inflow,1940,1345.15
hungry_horse_reservoir_inflow,1941,907.109
hungry_horse_reservoir_inflow,1942,1656.754
hungry_horse_reservoir_inflow,1943,2722.492
hungry_horse_reservoir_inflow,1944,1123.905
hungry_horse_reservoir_inflow,1945,1689.676
hungry_horse_reservoir_inflow,1946,2154.941
hungry_horse_reservoir_inflow,1947,2402.122
hungry_horse_reservoir_inflow,1948,2443.492
hungry_horse_reservoir_inflow,1949,1899.144
hungry_horse_reservoir_inflow,1950,2755.636
hungry_horse_reservoir_inflow,1951,2299.201
hungry_horse_reservoir_inflow,1952,1979.14
hungry_horse_reservoir_inflow,1953,2170.908
hungry_horse_reservoir_inflow,1954,2692.282
hungry_horse_reservoir_inflow,1955,1976.861
hungry_horse_reservoir_inflow,1956,2487.717
hungry_horse_reservoir_inflow,1957,1897.365
hungry_horse_reservoir_inflow,1958,1849.236
hungry_horse_reservoir_inflow,1959,2956.763
hungry_horse_reservoir_inflow,1960,2039.9
hungry_horse_reservoir_inflow,1961,2161.104
hungry_horse_reservoir_inflow,1962,2326.266
hungry_horse_reservoir_inflow,1963,1552.783
hungry_horse_reservoir_inflow,1964,2430.572
hungry_horse_reservoir_inflow,1965,2576.404
hungry_horse_reservoir_inflow,1966,1909.287
hungry_horse_reservoir_inflow,1967,2491.37
hungry_horse_reservoir_inflow,1968,1788.864
hungry_horse_reservoir_inflow,1969,2014.967
hungry_horse_reservoir_inflow,1970,2127.155
hungry_horse_reservoir_inflow,1971,2682.016
hungry_horse_reservoir_inflow,1972,2683.779
hungry_horse_reservoir_inflow,1973,1374.208
hungry_horse_reservoir_inflow,1974,2933.242
hungry_horse_reservoir_inflow,1975,2342.728
hungry_horse_reservoir_inflow,1976,2342.779
hungry_horse_reservoir_inflow,1977,1128.579
hungry_horse_reservoir_inflow,1978,2222.678
hungry_horse_reservoir_inflow,1979,1932.177
hungry_horse_reservoir_inflow,1980,1808.924
hungry_horse_reservoir_inflow,1981,2129.782
hungry_horse_reservoir_inflow,1982,2427.723
hungry_horse_reservoir_inflow,1983,1711.739
hungry_horse_reservoir_inflow,1984,1704.332
hungry_horse_reservoir_inflow,1985,1940.968
hungry_horse_reservoir_inflow,1986,1658.333
hungry_horse_reservoir_inflow,1987,1341.983
hungry_horse_reservoir_inflow,1988,1378.234
hungry_horse_reservoir_inflow,1989,2127.011
hungry_horse_reservoir_inflow,1990,2259.921
hungry_horse_reservoir_inflow,1991,2614.901
hungry_horse_reservoir_inflow,1992,1300.504
hungry_horse_reservoir_inflow,1993,1756.533
hungry_horse_reservoir_inflow,1994,1499.525
hungry_horse_reservoir_inflow,1995,1606.505
hungry_horse_reservoir_inflow,1996,2405.359
hungry_horse_reservoir_inflow,1997,3044.761
hungry_horse_reservoir_inflow,1998,1580.989
hungry_horse_reservoir_inflow,1999,2037.214
hungry_horse_reservoir_inflow,2000,1912.301
hungry_horse_reservoir_inflow,2001,1243.414
hungry_horse_reservoir_inflow,2002,2147.62
hungry_horse_reservoir_inflow,2003,1603.972
hungry_horse_reservoir_inflow,2004,1687.427
hungry_horse_reservoir_inflow,2006,2147.947
hungry_horse_reservoir_inflow,2008,2357.282
hungry_horse_reservoir_inflow,2010,1705.379
hungry_horse_reservoir_inflow,2012,2566.169
hungry_horse_reservoir_inflow,2014,2596.926
hungry_horse_reservoir_inflow,2016,1627.341
hungry_horse_reservoir_inflow,2018,2831.197
