site_id,forecast_year,year,month,volume
hungry_horse_reservoir_inflow,1911,1911,1,
hungry_horse_reservoir_inflow,1911,1911,2,85.071
hungry_horse_reservoir_inflow,1911,1911,3,121.825
hungry_horse_reservoir_inflow,1911,1911,4,224.172
hungry_horse_reservoir_inflow,1911,1911,5,748.602
hungry_horse_reservoir_inflow,1911,1911,6,949.765
hungry_horse_reservoir_inflow,1912,1911,10,69.203
hungry_horse_reservoir_inflow,1912,1911,11,82.334
hungry_horse_reservoir_inflow,1912,1911,12,
hungry_horse_reservoir_inflow,1912,1912,1,
hungry_horse_reservoir_inflow,1912,1912,2,
hungry_horse_reservoir_inflow,1912,1912,3,
hungry_horse_reservoir_inflow,1912,1912,4,255.332
hungry_horse_reservoir_inflow,1912,1912,5,672.655
hungry_horse_reservoir_inflow,1912,1912,6,744.198
hungry_horse_reservoir_inflow,1913,1912,10,57.187
hungry_horse_reservoir_inflow,1913,1912,11,74.527
hungry_horse_reservoir_inflow,1913,1912,12,47.375
hungry_horse_reservoir_inflow,1913,1913,1,
hungry_horse_reservoir_inflow,1913,1913,2,
hungry_horse_reservoir_inflow,1913,1913,3,
hungry_horse_reservoir_inflow,1913,1913,4,235.993
hungry_horse_reservoir_inflow,1913,1913,5,935.028
hungry_horse_reservoir_inflow,1913,1913,6,1618.512
hungry_horse_reservoir_inflow,1914,1913,10,
hungry_horse_reservoir_inflow,1914,1913,11,
hungry_horse_reservoir_inflow,1914,1913,12,
hungry_horse_reservoir_inflow,1914,1914,1,
hungry_horse_reservoir_inflow,1914,1914,2,
hungry_horse_reservoir_inflow,1914,1914,3,
hungry_horse_reservoir_inflow,1914,1914,4,
hungry_horse_reservoir_inflow,1914,1914,5,
hungry_horse_reservoir_inflow,1914,1914,6,
hungry_horse_reservoir_inflow,1915,1914,10,
hungry_horse_reservoir_inflow,1915,1914,11,
hungry_horse_reservoir_inflow,1915,1914,12,
hungry_horse_reservoir_inflow,1915,1915,1,
hungry_horse_reservoir_inflow,1915,1915,2,
hungry_horse_reservoir_inflow,1915,1915,3,
hungry_horse_reservoir_inflow,1915,1915,4,
hungry_horse_reservoir_inflow,1915,1915,5,
hungry_horse_reservoir_inflow,1915,1915,6,
hungry_horse_reservoir_inflow,1916,1915,10,
hungry_horse_reservoir_inflow,1916,1915,11,
hungry_horse_reservoir_inflow,1916,1915,12,
hungry_horse_reservoir_inflow,1916,1916,1,
hungry_horse_reservoir_inflow,1916,1916,2,
hungry_horse_reservoir_inflow,1916,1916,3,
hungry_horse_reservoir_inflow,1916,1916,4,
hungry_horse_reservoir_inflow,1916,1916,5,
hungry_horse_reservoir_inflow,1916,1916,6,
hungry_horse_reservoir_inflow,1917,1916,10,
hungry_horse_reservoir_inflow,1917,1916,11,
hungry_horse_reservoir_inflow,1917,1916,12,
hungry_horse_reservoir_inflow,1917,1917,1,
hungry_horse_reservoir_inflow,1917,1917,2,
hungry_horse_reservoir_inflow,1917,1917,3,
hungry_horse_reservoir_inflow,1917,1917,4,
hungry_horse_reservoir_inflow,1917,1917,5,
hungry_horse_reservoir_inflow,1917,1917,6,
hungry_horse_reservoir_inflow,1918,1917,10,
hungry_horse_reservoir_inflow,1918,1917,11,
hungry_horse_reservoir_inflow,1918,1917,12,
hungry_horse_reservoir_inflow,1918,1918,1,
hungry_horse_reservoir_inflow,1918,1918,2,
hungry_horse_reservoir_inflow,1918,1918,3,
hungry_horse_reservoir_inflow,1918,1918,4,
hungry_horse_reservoir_inflow,1918,1918,5,
hungry_horse_reservoir_inflow,1918,1918,6,
hungry_horse_reservoir_inflow,1919,1918,10,
hungry_horse_reservoir_inflow,1919,1918,11,
hungry_horse_reservoir_inflow,1919,1918,12,
hungry_horse_reservoir_inflow,1919,1919,1,
hungry_horse_reservoir_inflow,1919,1919,2,
hungry_horse_reservoir_inflow,1919,1919,3,
hungry_horse_reservoir_inflow,1919,1919,4,
hungry_horse_reservoir_inflow,1919,1919,5,
hungry_horse_reservoir_inflow,1919,1919,6,
hungry_horse_reservoir_inflow,1920,1919,10,
hungry_horse_reservoir_inflow,1920,1919,11,
hungry_horse_reservoir_inflow,1920,1919,12,
hungry_horse_reservoir_inflow,1920,1920,1,
hungry_horse_reservoir_inflow,1920,1920,2,
hungry_horse_reservoir_inflow,1920,1920,3,
hungry_horse_reservoir_inflow,1920,1920,4,
hungry_horse_reservoir_inflow,1920,1920,5,
hungry_horse_reservoir_inflow,1920,1920,6,
hungry_horse_reservoir_inflow,1921,1920,10,
hungry_horse_reservoir_inflow,1921,1920,11,
hungry_horse_reservoir_inflow,1921,1920,12,
hungry_horse_reservoir_inflow,1921,1921,1,
hungry_horse_reservoir_inflow,1921,1921,2,
hungry_horse_reservoir_inflow,1921,1921,3,
hungry_horse_reservoir_inflow,1921,1921,4,
hungry_horse_reservoir_inflow,1921,1921,5,
hungry_horse_reservoir_inflow,1921,1921,6,
hungry_horse_reservoir_inflow,1922,1921,10,
hungry_horse_reservoir_inflow,1922,1921,11,
hungry_horse_reservoir_inflow,1922,1921,12,
hungry_horse_reservoir_inflow,1922,1922,1,
hungry_horse_reservoir_inflow,1922,1922,2,
hungry_horse_reservoir_inflow,1922,1922,3,
hungry_horse_reservoir_inflow,1922,1922,4,
hungry_horse_reservoir_inflow,1922,1922,5,
hungry_horse_reservoir_inflow,1922,1922,6,
hungry_horse_reservoir_inflow,1923,1922,10,
hungry_horse_reservoir_inflow,1923,1922,11,
hungry_horse_reservoir_inflow,1923,1922,12,
hungry_horse_reservoir_inflow,1923,1923,1,
hungry_horse_reservoir_inflow,1923,1923,2,
hungry_horse_reservoir_inflow,1923,1923,3,
hungry_horse_reservoir_inflow,1923,1923,4,213.045
hungry_horse_reservoir_inflow,1923,1923,5,716.41
hungry_horse_reservoir_inflow,1923,1923,6,679.26
hungry_horse_reservoir_inflow,1924,1923,10,34.919
hungry_horse_reservoir_inflow,1924,1923,11,33.562
hungry_horse_reservoir_inflow,1924,1923,12,
hungry_horse_reservoir_inflow,1924,1924,1,
hungry_horse_reservoir_inflow,1924,1924,2,
hungry_horse_reservoir_inflow,1924,1924,3,40.042
hungry_horse_reservoir_inflow,1924,1924,4,166.659
hungry_horse_reservoir_inflow,1924,1924,5,933.203
hungry_horse_reservoir_inflow,1924,1924,6,495.531
hungry_horse_reservoir_inflow,1925,1924,10,34.024
hungry_horse_reservoir_inflow,1925,1924,11,54.329
hungry_horse_reservoir_inflow,1925,1924,12,
hungry_horse_reservoir_inflow,1925,1925,1,
hungry_horse_reservoir_inflow,1925,1925,2,
hungry_horse_reservoir_inflow,1925,1925,3,
hungry_horse_reservoir_inflow,1925,1925,4,
hungry_horse_reservoir_inflow,1925,1925,5,
hungry_horse_reservoir_inflow,1925,1925,6,
hungry_horse_reservoir_inflow,1926,1925,10,45.128
hungry_horse_reservoir_inflow,1926,1925,11,
hungry_horse_reservoir_inflow,1926,1925,12,
hungry_horse_reservoir_inflow,1926,1926,1,
hungry_horse_reservoir_inflow,1926,1926,2,
hungry_horse_reservoir_inflow,1926,1926,3,
hungry_horse_reservoir_inflow,1926,1926,4,
hungry_horse_reservoir_inflow,1926,1926,5,
hungry_horse_reservoir_inflow,1926,1926,6,
hungry_horse_reservoir_inflow,1927,1926,10,
hungry_horse_reservoir_inflow,1927,1926,11,
hungry_horse_reservoir_inflow,1927,1926,12,
hungry_horse_reservoir_inflow,1927,1927,1,
hungry_horse_reservoir_inflow,1927,1927,2,
hungry_horse_reservoir_inflow,1927,1927,3,
hungry_horse_reservoir_inflow,1927,1927,4,
hungry_horse_reservoir_inflow,1927,1927,5,786.506
hungry_horse_reservoir_inflow,1927,1927,6,1312.463
hungry_horse_reservoir_inflow,1928,1927,10,207.927
hungry_horse_reservoir_inflow,1928,1927,11,200.965
hungry_horse_reservoir_inflow,1928,1927,12,
hungry_horse_reservoir_inflow,1928,1928,1,
hungry_horse_reservoir_inflow,1928,1928,2,
hungry_horse_reservoir_inflow,1928,1928,3,
hungry_horse_reservoir_inflow,1928,1928,4,
hungry_horse_reservoir_inflow,1928,1928,5,1370.479
hungry_horse_reservoir_inflow,1928,1928,6,723.769
hungry_horse_reservoir_inflow,1929,1928,10,56.259
hungry_horse_reservoir_inflow,1929,1928,11,44.025
hungry_horse_reservoir_inflow,1929,1928,12,32.481
hungry_horse_reservoir_inflow,1929,1929,1,27.779
hungry_horse_reservoir_inflow,1929,1929,2,23.891
hungry_horse_reservoir_inflow,1929,1929,3,37.26
hungry_horse_reservoir_inflow,1929,1929,4,125.466
hungry_horse_reservoir_inflow,1929,1929,5,670.711
hungry_horse_reservoir_inflow,1929,1929,6,631.101
hungry_horse_reservoir_inflow,1930,1929,10,27.356
hungry_horse_reservoir_inflow,1930,1929,11,23.316
hungry_horse_reservoir_inflow,1930,1929,12,22.899
hungry_horse_reservoir_inflow,1930,1930,1,19.0
