site_id,issue_date,volume_10,volume_50,volume_90
hungry_horse_reservoir_inflow,2017-01-15,1300.504,1865.3730960555306,2602.5797833278584
hungry_horse_reservoir_inflow,2017-02-15,1300.504,1866.0703082702544,2602.684293990361
hungry_horse_reservoir_inflow,2017-03-15,1300.504,1822.0025043334404,2599.6806226353233
hungry_horse_reservoir_inflow,2017-04-15,1300.504,2003.9752560849552,2611.829556276843
snake_r_nr_heise,2017-01-15,1905.458,2733.918,4804.399878179384
snake_r_nr_heise,2017-02-15,1905.458,2733.918,4804.399878179384
snake_r_nr_heise,2017-03-15,1905.458,2733.918,4804.399878179384
snake_r_nr_heise,2017-04-15,1905.458,2733.918,4804.399878179384
pueblo_reservoir_inflow,2017-01-15,236.47050000000002,337.815,439.1595
pueblo_reservoir_inflow,2017-02-15,236.47050000000002,337.815,439.1595
pueblo_reservoir_inflow,2017-03-15,236.47050000000002,337.815,439.1595
pueblo_reservoir_inflow,2017-04-15,236.47050000000002,337.815,439.1595
sweetwater_r_nr_alcova,2017-01-15,50.740899999999996,72.487,94.2331
sweetwater_r_nr_alcova,2017-02-15,50.740899999999996,72.487,94.2331
sweetwater_r_nr_alcova,2017-03-15,50.740899999999996,72.487,94.2331
sweetwater_r_nr_alcova,2017-04-15,50.740899999999996,72.487,94.2331
missouri_r_at_toston,2017-01-15,929.851,1563.7752151579866,2798.195
missouri_r_at_toston,2017-02-15,929.851,1565.9902908233025,2798.195
missouri_r_at_toston,2017-03-15,929.851,1566.6330519621974,2798.195
missouri_r_at_toston,2017-04-15,929.851,1590.1003923189944,2798.195
animas_r_at_durango,2017-01-15,228.724,364.4521067961165,608.834
animas_r_at_durango,2017-02-15,228.724,364.24768932038836,608.834
animas_r_at_durango,2017-03-15,228.724,364.24768932038836,608.834
animas_r_at_durango,2017-04-15,228.724,364.24768932038836,608.834
yampa_r_nr_maybell,2017-01-15,464.811,887.072,1359.41
yampa_r_nr_maybell,2017-02-15,464.811,887.072,1359.41
yampa_r_nr_maybell,2017-03-15,464.811,887.072,1359.41
yampa_r_nr_maybell,2017-04-15,464.811,887.072,1359.41
libby_reservoir_inflow,2017-01-15,3952.462,5958.845651838957,7520.43044967136
libby_reservoir_inflow,2017-02-15,3952.462,6050.047617555316,7459.491597430087
libby_reservoir_inflow,2017-03-15,3952.462,5940.041036779109,7393.871890280649
libby_reservoir_inflow,2017-04-15,3952.462,5816.429696771855,7320.136847573275
boise_r_nr_boise,2017-01-15,817.5972000000002,1167.996,1518.3948
boise_r_nr_boise,2017-02-15,817.5972000000002,1167.996,1518.3948
boise_r_nr_boise,2017-03-15,817.5972000000002,1167.996,1518.3948
boise_r_nr_boise,2017-04-15,817.5972000000002,1167.996,1518.3948
green_r_bl_howard_a_hanson_dam,2017-01-15,137.973,244.78026369863008,379.674
green_r_bl_howard_a_hanson_dam,2017-02-15,137.973,244.78026369863008,379.674
green_r_bl_howard_a_hanson_dam,2017-03-15,137.973,244.78026369863008,379.674
green_r_bl_howard_a_hanson_dam,2017-04-15,137.973,244.78026369863008,379.674
taylor_park_reservoir_inflow,2017-01-15,66.32110505836576,82.059,135.684
taylor_park_reservoir_inflow,2017-02-15,67.87843968871596,82.059,135.684
taylor_park_reservoir_inflow,2017-03-15,67.87843968871596,82.059,135.684
taylor_park_reservoir_inflow,2017-04-15,68.04236964980545,82.059,135.684
dillon_reservoir_inflow,2017-01-15,75.806,155.30298722719834,261.956
dillon_reservoir_inflow,2017-02-15,75.806,155.68327701394858,261.956
dillon_reservoir_inflow,2017-03-15,75.806,155.56480628934304,261.956
dillon_reservoir_inflow,2017-04-15,75.806,155.55579086547795,261.956
ruedi_reservoir_inflow,2017-01-15,90.0263,128.609,167.19170000000003
ruedi_reservoir_inflow,2017-02-15,90.0263,128.609,167.19170000000003
ruedi_reservoir_inflow,2017-03-15,90.0263,128.609,167.19170000000003
ruedi_reservoir_inflow,2017-04-15,90.0263,128.609,167.19170000000003
fontenelle_reservoir_inflow,2017-01-15,455.02240000000006,650.032,845.0416
fontenelle_reservoir_inflow,2017-02-15,455.02240000000006,650.032,845.0416
fontenelle_reservoir_inflow,2017-03-15,455.02240000000006,650.032,845.0416
fontenelle_reservoir_inflow,2017-04-15,455.02240000000006,650.032,845.0416
weber_r_nr_oakley,2017-01-15,64.508,94.502,171.902
weber_r_nr_oakley,2017-02-15,64.508,94.502,171.902
weber_r_nr_oakley,2017-03-15,64.508,94.502,171.902
weber_r_nr_oakley,2017-04-15,64.508,94.502,171.902
san_joaquin_river_millerton_reservoir,2017-01-15,430.7,919.3742492956502,2226.992246788096
san_joaquin_river_millerton_reservoir,2017-02-15,430.7,1042.8823924612507,2295.1634076472637
san_joaquin_river_millerton_reservoir,2017-03-15,430.7,1252.6784657617814,2402.4257620137746
san_joaquin_river_millerton_reservoir,2017-04-15,430.7,1382.4115818370083,2468.754360307408
merced_river_yosemite_at_pohono_bridge,2017-01-15,146.8,314.02683417479307,660.8487117346938
merced_river_yosemite_at_pohono_bridge,2017-02-15,146.8,332.20467616025564,662.8364795918367
merced_river_yosemite_at_pohono_bridge,2017-03-15,146.8,332.20467616025564,662.8364795918367
merced_river_yosemite_at_pohono_bridge,2017-04-15,146.8,365.9846380380026,666.5303571428572
american_river_folsom_lake,2017-01-15,641.97,917.1,1192.23
american_river_folsom_lake,2017-02-15,641.97,917.1,1192.23
american_river_folsom_lake,2017-03-15,641.97,917.1,1192.23
american_river_folsom_lake,2017-04-15,641.97,917.1,1192.23
colville_r_at_kettle_falls,2017-01-15,47.1656694214876,94.97635215946845,221.3299308627131
colville_r_at_kettle_falls,2017-02-15,47.1656694214876,94.97635215946845,221.33714700507952
colville_r_at_kettle_falls,2017-03-15,47.314504132231406,113.79417275747508,221.3837868677153
colville_r_at_kettle_falls,2017-04-15,47.78756198347107,173.6049368770764,221.64239818538107
stehekin_r_at_stehekin,2017-01-15,491.889,714.274,918.803
stehekin_r_at_stehekin,2017-02-15,491.889,714.274,918.803
stehekin_r_at_stehekin,2017-03-15,491.889,714.274,918.803
stehekin_r_at_stehekin,2017-04-15,491.889,714.274,918.803
detroit_lake_inflow,2017-01-15,311.718,468.5740606060606,641.32
detroit_lake_inflow,2017-02-15,311.718,468.5740606060606,641.32
detroit_lake_inflow,2017-03-15,311.718,470.3880303030303,641.32
detroit_lake_inflow,2017-04-15,311.718,478.8142121212121,641.32
virgin_r_at_virtin,2017-01-15,21.003,35.49013532138554,93.94310159517354
virgin_r_at_virtin,2017-02-15,21.003,43.036501901767075,103.63285090450611
virgin_r_at_virtin,2017-03-15,21.003,50.33267828726911,108.58775925162796
virgin_r_at_virtin,2017-04-15,21.003,70.19891959535175,122.07912783736457
skagit_ross_reservoir,2017-01-15,873.67,1248.1,1622.5299999999997
skagit_ross_reservoir,2017-02-15,873.67,1248.1,1622.5299999999997
skagit_ross_reservoir,2017-03-15,873.67,1248.1,1622.5299999999997
skagit_ross_reservoir,2017-04-15,873.67,1248.1,1622.5299999999997
boysen_reservoir_inflow,2017-01-15,560.0721,800.103,1040.1338999999998
